City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,toretsk,48.3987,37.8479,293.94,51,100,3.89,UA,1714072911
84,hasaki,35.7333,140.8333,291.43,87,100,5.24,JP,1714072911
85,sinabang,2.4803,96.3801,299.99,85,100,1.03,ID,1714072911
86,ivankiv,50.9386,29.8943,284.96,97,100,3.08,UA,1714072912
87,sitka,57.0531,-135.33,283.26,69,57,1.5,US,1714072811
88,taco pozo,-25.6167,-63.2833,297.2,74,100,2.35,AR,1714072912
89,stettler,52.3168,-112.7186,285.63,45,71,1.53,CA,1714072912
90,belmonte,-15.8631,-38.8828,300.98,74,7,4.05,BR,1714072912
91,vikhorevka,56.1201,101.1636,273.01,96,100,2.34,RU,1714072913
92,ilulissat,69.2167,-51.1,273.85,92,100,0.53,GL,1714072913
93,bethel,41.3712,-73.414,287.7,20,0,1.24,US,1714072913
94,avarua,-21.2078,-159.775,299.08,74,51,9.52,CK,1714072913
95,hadibu,12.65,54.0333,301.18,73,5,2.69,YE,1714072914
96,puerto baquerizo moreno,-0.9,-89.6,299.05,79,5,3.66,EC,1714072914
97,olinda,-8.0089,-34.8553,302.4,68,65,3.97,BR,1714072914
98,praya,14.9215,-23.5087,297.67,75,24,7.32,CV,1714072914
99,karmala,18.4167,75.2,307.56,26,25,1.75,IN,1714072915
100,jamestown,42.097,-79.2353,284.02,41,12,2.86,US,1714072847
101,brookings,44.3114,-96.7984,291.38,46,43,10.67,US,1714072710
102,kohlu,29.8962,69.252,295.83,34,100,2.37,PK,1714072915
103,tura,25.5198,90.2201,297.87,47,0,2.7,IN,1714072916
104,laminusa,5.5549,120.9136,301.25,84,100,4.63,PH,1714072916
105,vadso,70.0744,29.7487,274.66,80,100,2.63,NO,1714072916
106,vila franca do campo,37.7167,-25.4333,289.85,68,100,1.24,PT,1714072916
107,udachny,66.4167,112.4,260.68,97,95,2.51,RU,1714072917
108,haiku-pauwela,20.9219,-156.3051,294.99,75,73,9.55,US,1714072917
109,cannonvale,-20.2833,148.7,295.68,77,8,4.51,AU,1714072917
110,mitu,1.1983,-70.1733,301.36,70,100,1.21,CO,1714072917
111,ust-nera,64.5667,143.2,271.46,97,100,1.13,RU,1714072918
112,jati,24.3539,68.2671,299.77,71,0,5.64,PK,1714072918
113,achinsk,56.2694,90.4993,271.5,64,97,2.11,RU,1714072918
114,dryden,49.7833,-92.7503,290.39,29,15,5.46,CA,1714072918
115,cabedelo,-6.9811,-34.8339,302.1,71,30,5.79,BR,1714072919
116,cabo san lucas,22.8909,-109.9124,299.0,46,99,6.23,MX,1714072718
117,bandar abbas,27.1865,56.2808,300.37,49,4,1.97,IR,1714072919
118,harbin,45.75,126.65,285.55,18,98,3.36,CN,1714072919
119,lihue,21.9789,-159.3672,295.86,81,49,7.11,US,1714072920
120,afaahiti,-17.75,-149.2833,299.42,81,42,2.96,PF,1714072920
121,bonthe,7.5264,-12.505,301.5,71,96,4.16,SL,1714072920
122,port alfred,-33.5906,26.891,291.11,89,100,5.49,ZA,1714072921
123,hirara,24.8,125.2833,297.64,88,100,6.44,JP,1714072921
124,maffra,-37.9667,146.9833,281.26,89,3,2.66,AU,1714072922
125,puerto aysen,-45.4,-72.7,280.47,99,100,3.01,CL,1714072922
126,shanwei,22.782,115.3475,297.17,94,100,3.18,CN,1714072922
127,cadale,2.7603,46.3222,302.13,79,100,4.02,SO,1714072923
128,okha,53.5739,142.9478,274.08,91,100,3.93,RU,1714072923
129,mossel bay,-34.1831,22.146,289.65,91,94,1.52,ZA,1714072923
130,carnarvon,-24.8667,113.6333,297.32,50,10,7.13,AU,1714072923
131,sisimiut,66.9395,-53.6735,274.21,94,100,0.67,GL,1714072924
132,broome,42.2506,-75.833,283.96,29,0,2.8,US,1714072924
133,laguna,38.421,-121.4238,290.48,65,100,3.58,US,1714072717
134,larmor-plage,47.7065,-3.3834,283.25,74,100,4.38,FR,1714072924
135,bardai,11.65,7.2333,306.94,19,4,3.49,NG,1714072925
136,ancud,-41.8697,-73.8203,284.83,82,100,10.22,CL,1714072925
137,el calafate,-50.3408,-72.2768,278.73,65,100,5.5,AR,1714072925
138,nuuk,64.1835,-51.7216,274.58,86,100,2.39,GL,1714072925
139,nova sintra,14.8667,-24.7167,296.5,79,73,6.42,CV,1714072926
140,roswell,34.0232,-84.3616,299.0,23,17,2.72,US,1714072926
141,labrador city,52.9463,-66.9114,265.7,90,100,6.74,CA,1714072926
142,bilibino,68.0546,166.4372,259.15,92,100,1.06,RU,1714072926
143,nguigmi,14.2495,13.1092,305.96,16,0,1.45,NE,1714072927
144,namibe,-15.1961,12.1522,296.5,78,24,4.19,AO,1714072927
145,slavyanka,42.8633,131.3847,279.92,90,31,0.48,RU,1714072927
146,puerto deseado,-47.7503,-65.8938,289.01,33,8,12.48,AR,1714072927
147,ahtari,62.554,24.0619,274.26,98,100,4.15,FI,1714072928
148,great falls,47.5002,-111.3008,290.19,33,53,3.77,US,1714072928
149,newnham,-41.3833,147.1333,279.02,89,3,0.58,AU,1714072928
150,palmerston north,-40.35,175.6167,286.65,98,100,4.99,NZ,1714072928
151,luderitz,-26.6481,15.1594,290.59,71,94,7.44,NA,1714072928
152,agios nikolaos,35.1914,25.7133,287.31,76,4,2.07,GR,1714072929
153,erenhot,43.6475,111.9767,284.12,38,100,6.75,CN,1714072929
154,kuta,-8.7233,115.1723,300.48,82,98,1.61,ID,1714072930
155,forshaga,59.5254,13.4813,278.18,59,96,2.07,SE,1714072930
156,polyarnyy,69.1989,33.4478,273.71,95,100,1.36,RU,1714072930
157,alice springs,-23.7,133.8833,284.45,39,67,3.9,AU,1714072754
158,klyuchi,52.2667,79.1667,276.02,63,8,2.4,RU,1714072930
159,strezhevoy,60.7333,77.5889,269.17,90,96,1.25,RU,1714072931
160,st. john's,47.5649,-52.7093,283.1,69,7,7.14,CA,1714072694
161,long beach,33.767,-118.1892,289.33,62,99,4.41,US,1714072797
162,kiunga,-6.1219,141.2906,297.3,99,100,0.57,PG,1714072931
163,san patricio,28.017,-97.5169,300.86,68,100,9.89,US,1714072932
164,huilong,31.8111,121.655,285.87,94,100,6.66,CN,1714072932
165,shklow,54.2108,30.2919,281.91,85,100,0.53,BY,1714072932
166,utrik,11.2278,169.8474,300.32,73,100,10.26,MH,1714072932
167,codrington,-38.2667,141.9667,285.58,73,100,4.18,AU,1714072932
168,tonk,26.1667,75.7833,304.56,20,4,3.82,IN,1714072933
169,manokwari,-0.8667,134.0833,299.0,80,66,1.25,ID,1714072933
170,midvagur,62.0511,-7.1939,275.29,77,78,5.76,FO,1714072933
171,ivdel',60.6911,60.4206,268.4,99,96,0.67,RU,1714072933
172,shasta lake,40.6804,-122.3708,287.47,79,100,2.04,US,1714072934
173,susuman,62.7833,148.1667,269.82,97,100,0.82,RU,1714072934
174,kodiak,57.79,-152.4072,277.15,96,100,4.01,US,1714072934
175,kattivakkam,13.2167,80.3167,301.28,79,0,4.18,IN,1714072934
176,mar del plata,-38.0023,-57.5575,287.35,76,99,6.35,AR,1714072935
177,bairnsdale,-37.8333,147.6167,282.49,81,87,3.29,AU,1714072860
178,venado tuerto,-33.7456,-61.9688,288.08,81,100,1.81,AR,1714072935
179,bouarfa,32.53,-1.95,294.05,20,64,5.74,MA,1714072936
180,san juan del sur,11.2529,-85.8705,306.76,44,1,8.45,NI,1714072936
181,tanjung sepat,2.6579,101.5629,299.51,88,100,1.05,MY,1714072936
182,ushuaia,-54.8,-68.3,277.66,93,100,0.61,AR,1714072936
183,rustaq,23.3908,57.4244,299.92,36,0,0.55,OM,1714072937
184,pacific grove,36.6177,-121.9166,285.05,87,100,6.1,US,1714072937
185,dubna,56.7333,37.1667,285.13,84,100,1.16,RU,1714072937
186,hurricane,37.1753,-113.2899,295.46,20,36,6.24,US,1714072938
187,constitucion,-35.3333,-72.4167,289.69,72,12,3.21,CL,1714072938
188,tindouf,27.6711,-8.1474,300.98,10,0,10.13,DZ,1714072938
189,kondalwadi,18.8,77.7667,307.32,26,7,2.16,IN,1714072938
190,mejit,10.2753,170.8646,300.51,73,62,10.78,MH,1714072939
191,mersing,2.4312,103.8405,299.55,89,100,0.94,MY,1714072939
192,tsumeb,-19.2333,17.7167,295.8,15,0,3.09,NA,1714072939
193,caudry,50.1249,3.4119,279.62,75,100,3.76,FR,1714072939
194,tamandare,-8.7597,-35.1047,301.92,71,31,2.85,BR,1714072940
195,olonkinbyen,70.9221,-8.7187,271.32,82,9,4.27,SJ,1714072940
196,vilyuchinsk,52.9306,158.4028,277.0,85,100,4.17,RU,1714072940
197,buncrana,55.1333,-7.45,279.74,67,100,4.19,IE,1714072940
198,nar'yan-mar,67.6713,53.087,272.3,97,99,5.46,RU,1714072941
199,yarmouth,41.7057,-70.2286,278.96,50,2,4.61,US,1714072941
200,namtsy,62.7161,129.6658,261.67,94,100,2.81,RU,1714072941
201,freeport,40.6576,-73.5832,283.59,32,7,3.52,US,1714072687
202,bubaque,11.2833,-15.8333,299.04,70,5,9.14,GW,1714072942
203,nemuro,43.3236,145.575,280.53,95,56,4.29,JP,1714072942
204,ocean shores,46.9737,-124.1563,283.44,94,100,11.23,US,1714072942
205,la guaira,10.599,-66.9346,301.69,78,100,3.58,VE,1714072943
206,san fernando,15.0286,120.6898,299.9,84,1,1.02,PH,1714072943
207,edd,13.9297,41.6925,306.26,54,17,7.02,ER,1714072943
208,kuanda,56.3161,116.0806,270.54,82,96,2.16,RU,1714072943
209,praia da vitoria,38.7333,-27.0667,289.13,84,98,4.27,PT,1714072944
210,kalmunai,7.4167,81.8167,300.29,72,100,0.86,LK,1714072944
211,yelizovo,53.1873,158.3805,276.89,88,100,3.9,RU,1714072944
212,itoman,26.1247,127.6694,296.57,94,100,3.18,JP,1714072944
213,ust'-barguzin,53.45,108.9833,268.89,96,85,1.47,RU,1714072945
214,guerrero negro,27.9769,-114.0611,292.03,60,68,8.36,MX,1714072945
215,cristalina,-16.7686,-47.6136,299.19,50,58,3.06,BR,1714072945
216,rio preto da eva,-2.6994,-59.6997,296.84,99,100,0.51,BR,1714072945
217,mabaruma,8.2,-59.7833,304.83,44,100,3.41,GY,1714072946
218,quepos,9.4236,-84.1652,304.19,68,94,4.35,CR,1714072946
219,petropavlovsk-kamchatsky,53.0452,158.6483,276.06,86,100,5.7,RU,1714072805
220,kokuy,52.2037,117.5529,272.55,73,15,1.28,RU,1714072946
221,smithers,54.7804,-127.1743,282.6,50,71,0.88,CA,1714072947
222,obuase,6.206,-1.6619,297.95,93,97,1.09,GH,1714072947
223,ribeira brava,32.65,-17.0667,292.22,66,0,2.68,PT,1714072947
224,remire-montjoly,4.9167,-52.2667,300.48,70,99,3.67,GF,1714072947
